Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
IGKV2D-18	2	p11.2	90052581	90053372
IGKV6D-41	2	p11.2	90069662	90070238
IGKV3D-15	2	p11.2	90114838	90115402
OR4C12	11	p11.12	49981473	49982535
PCBP2	12	q13.13	53452102	53481162
COCH	14	q12	30874514	30895065
MLPH	2	q37.3	237485428	237555318
DUX4L32	20	q11.1	29318824	29319579
DARS	2	q21.3	135906677	135986100
LINC00423	13	q13.1	32877431	32911650
CRYBB1	22	q12.1	26599278	26618088
AL133304.1	14	q13.2	35947556	35950044
AL162311.2	14	q13.2	35881001	35881709
SEC14L1	17	q25.2	77088749	77217101
EIF3K	19	q13.2	38619082	38636955
AL035401.1	6	p22.3	22744395	23031780
AC044810.2	11	p15.4	7754393	7905955
AC044810.3	11	p15.4	7704628	7882947
AC114402.1	1	q32.1	203835585	203835912
AL109945.1	1	p35.1	32349194	32350663
KRT37	17	q21.2	41420753	41424523
AC007998.1	18	q12.2	35383354	35384025
PPIAP9	CHR_HSCHR6_MHC_COX_CTG1		31506943	31507754
SOX5-AS1	12	p12.1	24223271	24237965
RPS7P6	4	p15.32	17427696	17428274
LARP7P1	1	q32.1	203400266	203400581
AC010333.2	16	p13.12	12560756	12611044
NCOR1P1	20	p11.1	26103416	26114028
BSNDP3	20	p11.1	26071988	26072351
FMOD	1	q32.1	203340628	203351758
IGKV1D-35	2	p11.2	89895502	89895772
KRT31	17	q21.2	41393724	41397592
LINC01136	1	q32.1	203298758	203305309
BX649601.1	9	q34.2	134168769	134169340
ZNF335	20	q13.12	45948653	45972172
ISCA2	14	q24.3	74493720	74497106
IGKV2D-40	2	p11.2	89851791	89852497
NPIPB2	16	p13.13	11927373	11976643
EHMT2	CHR_HSCHR6_MHC_APD_CTG1		31946781	31964716
PAAF1	11	q13.4	73876699	73931124
LMNB2	19	p13.3	2427638	2456996
KRT33B	17	q21.2	41363494	41369800
FRZB	2	q32.1	182833275	182867162
MTCO3P44	4	p15.2	25720516	25721056
AQP4	18	q11.2	26852038	26865818
EYS	6	q12	63719980	65707225
TRAK1	3	p22.1	42013802	42225889
C8B	1	p32.2	56929210	56966140
AL161740.1	1	p32.2	56963886	56996757
HNRNPA1P6	1	p32.2	58047889	58049335
AL357375.1	6	q12	64377795	64412779
BX324167.1	22	q13.31	45875999	45891438
TRIM33	1	p13.2	114392777	114511160
AL035410.2	1	p13.2	114353986	114355178
SETD7	4	q31.1	139495941	139606699
FTH1P24	4	q31.1	139546266	139546727
AC022075.1	12	p13.2	10363769	10398506
BMPR1AP2	11	q24.1	121361854	121362865
AL591742.1	1	p13.2	114001433	114002235
PRICKLE2	3	p14.1	64092242	64445476
LINC02203	15	q11.2	21552795	21653276
WDR41	5	q14.1	77425970	77620611
AC135068.11	15	q11.2	21609102	21610043
OLFML3	1	p13.2	113979391	114035572
RPS2P24	5	q13.3	77545397	77546266
CXCR3	X	q13.1	71615916	71618517
AP001615.1	21	q22.3	41739373	41741308
PLS3	X	q23	115561174	115650861
AC069528.1	3	q24	146391363	146416603
IGKV2-19	2	p11.2	89134975	89135257
AF013593.1	X	q28	151226229	151227715
AC073655.2	12	q22	94277758	94282844
AC022762.1	11	p15.4	6108135	6185576
IGKV1-16	2	p11.2	89099859	89100361
IGKV3-15	2	p11.2	89085177	89085787
OR56B3P	11	p15.4	6128610	6129556
KRTAP29-1	17	q21.2	41301826	41302851
IGKV1-13	2	p11.2	89045995	89046466
RPL12P50	X	q28	151023607	151023722
AC068831.2	15	q26.1	91029888	91029996
AC239600.2	X	q23	115424064	115425600
AC093627.4	7	p22.3	149571	155465
RPL19P21	X	q28	150993501	150994091
DNAJC10	2	q32.1	182716041	182794464
LINC00847	5	q35.3	180830957	180835726
HEIH	5	q35.3	180829954	180831605
LINC00853	1	p33	47179250	47180339
LINC00283	13	q33.1	102742990	102745224
UPF3AP2	17	p11.2	20375369	20376840
KCNMB1	5	q35.1	170374671	170389677
LMTK3	19	q13.33	48485271	48513935
SNAPC5	15	q22.31	66490135	66497813
HINT2	9	p13.3	35812960	35815354
ZBED3-AS1	5	q13.3	77086688	77166909
NRDE2	14	q32.11	90267856	90332137
STX1B	16	p11.2	30989256	31010661
PPCS	1	p34.2	42456117	42473385
TPT1P4	6	q24.2	144200447	144200965
AC123567.1	12	q22	94140077	94141337
AC063977.3	19	q13.41	51251231	51271179
FAM217A	6	p25.2	4049434	4087344
LINC01510	7	q31.2	116563594	116663829
AC022001.2	3	p25.2	11607184	11610748
AP001124.1	11	q23.3	121238304	121238688
AC096540.1	1	p34.2	42335386	42338376
Z98259.3	1	p36.31	5478736	5493057
OR52L1	11	p15.4	5985892	5986985
LMOD2	7	q31.32	123655807	123664290
IDH2-DT	15	q26.1	90102649	90133445
CLDN16	3	q28	190322541	190412143
LINC00514	16	p13.3	2988961	2994509
GU182351.1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1		54830833	54834726
KIR2DL1	CHR_HSCHR19KIR_G248_BA2_HAP_CTG3_1		54814235	54828734
AC006499.2	4	p16.1	10267895	10268231
LRRC19	9	p21.2	26993136	27005693
AC093890.1	4	q31.21	143911514	143912053
ANXA1	9	q21.13	73151757	73170393
AC104463.1	1	q32.1	202632428	202632911
SBNO2	CHR_HSCHR19_4_CTG2		1107635	1156979
AXIN1	16	p13.3	287440	352673
ABCG8	2	p21	43831942	43882987
AC097494.1	4	q12	54836161	54845402
YBX2P1	10	q26.13	123991910	123992669
AC104304.1	3	p21.31	46581150	46617226
FAM237B	7	q21.13	90316503	90321308
AL096861.1	X	q27.3	147476324	147476446
HOXB-AS3	17	q21.32	48549630	48606414
AC093277.1	5	p13.1	40415137	40431491
CRIP1P3	1	q32.1	202096759	202096978
CTF2P	16	p11.2	30904348	30910208
RAB27A	15	q21.3	55202966	55319113
AL591644.1	9	p24.3	1977784	1978547
AC092436.2	4	p15.2	25608711	25619468
DNAAF4	15	q21.3	55410525	55508234
LINC02104	5	p13.1	39520431	39524708
PSMA8	18	q11.2	26133852	26193355
HSFY8P	Y	q11.23	26011435	26012237
CCDC126	7	p15.3	23597379	23644708
C12orf10	12	q13.13	53299686	53307177
LINC02136	16	q22.2	71410440	71426464
AC110597.3	18	q22.1	67506589	67514030
LINC01193	15	q11.2	20940438	20993303
AC025164.1	12	q21.33	92145573	92189660
AC055860.1	11	p15.1	18000542	18022931
REEP1	2	p11.2	86213993	86338083
LINC02523	6	q22.31	125674353	125720218
C10orf99	10	q23.1	84173738	84185294
ZNF519P2	15	q11.2	20901441	20901609
HIST1H4B	6	p22.2	26026815	26027252
ABCD4	14	q24.3	74285423	74303056
AC012531.2	12	q13.13	53985845	54034888
AC114810.1	2	p25.3	3496956	3497428
AC007218.1	16	p13.2	9666885	9676843
AC011473.2	19	q13.41	51014374	51014734
SYF2	1	p36.11	25222679	25232502
DERL3	22	q11.23	23834503	23839128
AC098868.1	4	q12	54440502	54446723
DHCR24-DT	1	p32.3	54887563	54888850
AC099552.2	7	q36.3	155267299	155268052
AL138799.4	1	p31.1	81513880	81557702
AC099552.4	7	q36.3	155222903	155223851
LINC01177	16	p13.2	9441294	9444985
PRR30	2	p23.3	27136848	27139410
GTF2A1	14	q31.1	81175452	81221377
ZNF426	19	p13.2	9523224	9538645
UFSP2	4	q35.1	185399540	185425985
RNASEH2B	13	q14.3	50909678	51024120
LUM	12	q21.33	91102629	91111831
RPS21P4	4	p15.32	16256308	16256555
AL445183.1	1	p32.3	53069938	53085502
MDFI	6	p21.1	41636882	41654246
AC023310.4	15	q11.2	20642799	20643448
AP001033.1	18	p11.22	9315194	9334441
ATP10A	15	q12	25677273	25865172
BTN2A1	6	p22.2	26457904	26476621
RPL35AP25	10	q11.22	45940522	45940851
ABCF1	CHR_HSCHR6_MHC_QBL_CTG1		30560870	30586674
MRPS35P3	10	q21.1	57982285	57982993
KIF7	15	q26.1	89608789	89655451
RAB42P1	14	q32.11	89892128	89892443
SLC17A2	6	p22.2	25912754	25930726
AL137230.2	14	q32.11	89412312	89954659
LINC00928	15	q26.1	89505277	89524034
SLC4A4	4	q13.3	71062667	71572087
AC008567.1	19	p13.2	9518150	9519341
AL138726.1	6	p22.2	25885419	25885751
SLA	8	q24.22	133036724	133103054
MATN1-AS1	1	p35.2	30718504	30726827
AF305872.1	8	q24.22	133002605	133003075
KLHL10	17	q21.2	41835685	41848384
AC091953.2	5	p15.31	8572047	8572206
HIST1H2APS2	6	p22.2	25882026	25882395
AC073352.2	3	q13.33	119579212	119579650
AC091965.1	5	p15.31	8387638	8457564
AC023394.2	18	q22.1	65865262	65866397
RPS20P2	16	p13.3	1329078	1329777
TRIM53CP	11	p11.12	48985868	48991881
KBTBD11	8	p23.3	1973878	2006936
AC069540.2	10	q23.1	83672406	83675439
EPC1	10	p11.22	32267751	32378798
DXO	6	p21.33	31969810	31972292
NT5C3B	17	q21.2	41825181	41836263
AL035420.1	20	q11.23	36072441	36085260
AL590369.1	9	q34.11	129640476	129641282
AC099342.1	7	p21.1	20296708	20311712
DRC3	17	p11.2	17972813	18016889
AC087163.3	17	p11.2	18026072	18026771
AL512633.1	X	p11.3	46725164	46725818
YBX1P8	X	p11.3	46684765	46685707
AC093831.1	4	q28.3	130881027	130885641
WARS2P1	10	q23.1	80940665	80941201
BX248084.1	CHR_HSCHR6_MHC_SSTO_CTG1		29216117	29217054
BX248093.1	CHR_HSCHR6_MHC_SSTO_CTG1		29138704	29139640
AC096915.1	3	p14.2	62926371	62926882
PABPN1	14	q11.2	23321289	23326185
GTF3A	13	q12.2	27424544	27435823
MRPL45P2	17	q21.32	47450568	47492492
NAALADL2-AS1	3	q26.31	175773145	175776333
EN1	2	q14.2	118842171	118847678
B3GALT4	CHR_HSCHR6_MHC_COX_CTG1		33198732	33200425
AC004854.2	7	p13	44884953	44886393
DRD5	4	p16.1	9781680	9784009
LINC01952	7	p13	44848416	44849568
AC010200.2	12	q23.1	100525186	100525420
PRR3	CHR_HSCHR6_MHC_QBL_CTG1		30546378	30553215
ATP6V0CP1	17	p13.2	4856757	4857374
C17orf107	17	p13.2	4899418	4902932
AC009309.1	2	p11.2	86195590	86196049
AC023421.2	18	q12.3	45669367	45747215
AP002833.2	11	q24.2	126992452	126995458
BTN3A1	6	p22.2	26402237	26415216
GAPDHP25	2	p22.2	38285410	38286410
TRDN-AS1	6	q22.31	123389421	123510241
GID4	17	p11.2	18039292	18068404
ARHGAP9	12	q13.3	57472255	57488814
BFAR	CHR_HSCHR16_1_CTG1		14632814	14669237
ART2BP	11	q13.4	72478221	72479237
SLC35F6	2	p23.3	26764284	26781231
AC073063.1	7	q22.1	99442890	99443496
AC079080.1	4	q35.1	184254509	184255330
TPBG	6	q14.1	82363206	82370828
FRMPD4-AS1	X	p22.2	12373167	12375133
HIST1H2BPS1	6	p22.2	25731782	25732091
GOLGA2P6	10	p11.23	30364410	30374386
AL157935.1	9	q34.11	127934503	127940952
CCDC175	14	q23.1	59504539	59576831
RPSAP46	7	q22.1	101203614	101204495
CCDC59	12	q21.31	82223681	82358805
AC009962.1	2	q31.3	181887851	181891663
EHBP1L1	11	q13.1	65576038	65592650
AC069218.2	3	q26.31	174302944	174303287
MTPAP	10	p11.23	30309801	30374448
AL049557.1	1	p13.2	111722064	111755824
LY6G6C	CHR_HSCHR6_MHC_COX_CTG1		31706055	31709252
AC009269.2	15	q23	70748932	70754177
AC126474.2	12	q23.1	100032325	100034074
KRT18P57	1	p13.2	111648291	111649544
Z84480.1	6	q21	110863860	110864451
FABP7	6	q22.31	122779475	122784074
Z99129.2	6	q22.31	122531123	122531436
FP700111.2	1	q21.1	144754572	144786606
GTF2H1	11	p15.1	18322295	18367044
ASPHD2	22	q12.1	26429273	26445015
AL139099.3	14	q21.3	49601011	49601124
AC246785.1	1	q21.1	144472535	144474790
Z99129.1	6	q22.31	122454358	122454612
AC097493.4	4	p16.1	9532429	9532647
MLLT6	17	q12	38705542	38729803
ADGRG6	6	q24.2	142301854	142446266
HDDC3	15	q26.1	90929964	90935196
AC132192.2	11	p15.4	9459556	9460702
AC245595.2	1	q21.1	144276484	144305180
AL590099.1	13	q12.13	25017766	25017903
COMMD4	15	q24.2	75335891	75343224
AC244453.1	1	p11.2	121118126	121146826
HIST2H3DP1	1	p11.2	121118195	121118610
KIR3DL2	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1		54850406	54867200
COMP	19	p13.11	18782773	18791314
COX5BP6	13	q32.3	100623875	100624429
AC116563.1	4	q28.3	137645265	137655174
AL035555.1	6	p21.2	38762905	38764694
IGHV3-76	CHR_HSCHR14_3_CTG1		106852045	106852339
LINC02172	4	q28.3	137545731	137603430
AC116563.2	4	q28.3	137601899	137602433
AC093788.1	4	q32.2	163529771	163530697
MEG8	14	q32.2	100894770	101038859
BX322650.1	X	q28	150114378	150116520
AL450311.1	10	q22.1	69684899	69692452
NCLP2	X	q26.3	135075136	135076597
AC131254.3	8	p12	29864644	29871661
LINC02243	X	q26.3	134949549	134953382
SCYL1	11	q13.1	65525077	65538704
AC026304.1	3	q23	143000907	143001467
AC021074.2	3	q23	142960372	142960543
BTF3L4	1	p32.3	52056125	52090716
AL451142.3	CHR_HSCHR9_1_CTG4		88180669	88181409
AC105402.1	2	q23.1	148872253	148872797
IGHV1OR21-1	21	p11.2	10649400	10649835
AL353151.1	9	p24.1	4781475	4782078
PPP1CB	2	p23.2	28751640	28802940
AF254982.1	21	p11.2	10640028	10640338
HCG18	CHR_HSCHR6_MHC_DBB_CTG1		30281062	30317397
NLRP7	CHR_HSCHR19LRC_COX2_CTG3_1		54594345	54618340
IGHV1-69	CHR_HSCHR14_3_CTG1		106739363	106739862
IGHV1-68	CHR_HSCHR14_3_CTG1		106728533	106728827
LTB	CHR_HSCHR6_MHC_DBB_CTG1		31562695	31564662
AC097717.1	2	q33.1	199867396	199911159
HIF3A	19	q13.32	46297046	46343433
MFSD14B	9	q22.32	94374551	94461042
YRDCP1	9	q22.32	94432631	94433273
AL136131.3	6	p21.1	43770429	43770616
TRIM49	11	q14.3	89797655	89808575
TCTEX1D1	1	p31.3	66752459	66778787
LINC01567	16	p12.1	24661422	24671062
ZNF442	19	p13.2	12345949	12365905
ATP5MPL	14	q32.33	103912288	103928269
RAB28P3	9	p11.1	42492663	42493570
GYS2	12	p12.1	21536189	21604847
TRAM2-AS1	6	p12.2	52577307	52583993
HTATSF1P1	CHR_HSCHR6_MHC_COX_CTG1		33159435	33161326
AC105760.2	2	q37.3	237059434	237085817
MYOZ3	5	q33.1	150660874	150679365
AC008453.1	5	q33.1	150670658	150672390
CYGB	17	q25.1	76527356	76551175
AL445584.1	9	p11.2	42196333	42196662
SNX18P1Y	Y	q11.21	11178306	11178816
AC019206.1	2	p13.3	69844509	69844933
ZNF557	19	p13.2	7069444	7087968
CFB	CHR_HSCHR6_MHC_SSTO_CTG1		31938304	31944738
FRYL	4	p11	48497361	48780322
AC107398.3	4	p12	47431960	47438959
AC008040.2	3	q26.2	170062244	170062951
LINC02218	5	p15.1	17444010	17486829
STOML1	15	q24.1	73978923	73994622
ANTXR2	4	q21.21	79901149	80125454
PHKA2-AS1	X	p22.13	18890296	18894497
CDRT7	17	p12	15030975	15031957
ALS2CR12	2	q33.1	201288271	201357398
RPL23AP76	17	p12	14947741	14948198
LINC02557	22	q11.23	23512494	23513602
AL096700.1	X	p22.13	18838709	18839452
IGFL3	19	q13.32	46120071	46124674
AC027097.2	18	q21.31	57639455	57738603
AC000035.1	22	q12.2	29480220	29481113
AC100868.1	8	q24.22	132024238	132085655
AC108078.2	4	q13.3	69450014	69451613
FLJ25758	19	p13.2	7005012	7006074
RBMY3AP	Y	p11.2	9610571	9621276
ADGRE4P	19	p13.2	6952500	6997872
CEP85L	6	q22.31	118460772	118710075
TSPEAR-AS2	21	q22.3	44517216	44525952
KRTAP10-7	21	q22.3	44600597	44602174
KRTAP10-5	21	q22.3	44579455	44580604
AC005534.2	7	q36.3	156633355	156633787
TRAPPC2P2	8	q13.3	71448811	71449219
AL359922.1	9	p21.3	21802636	22032986
NOP56P3	12	q21.2	79558782	79559166
AL035252.4	20	p11.21	25226448	25226735
CDKN2A-DT	9	p21.3	21966929	21967751
AP001267.2	11	q23.3	118433121	118435206
GTF2H4	CHR_HSCHR6_MHC_MANN_CTG1		30952827	30958749
DRC1	2	p23.3	26401916	26456711
RASA1	5	q14.3	87267888	87391931
TP53RK	20	q13.12	46684365	46689779
AC100810.3	8	p23.3	1758208	1760447
AC092535.1	4	p16.3	1151372	1153701
FOXA3	19	q13.32	45863989	45873797
LAMTOR5-AS1	1	p13.3	110347116	110443817
AC093767.1	4	q28.1	123861860	123862015
SVIL-AS1	10	p11.23	29409402	29487745
MORF4L2	X	q22.2	103675496	103688158
DENND6A-AS1	3	p14.3	57628810	57654918
AL121594.1	14	q13.2	35122549	35317474
AP000302.1	21	q22.11	33482499	33484258
AC002059.2	22	q12.2	29387909	29417757
AC080013.1	3	q25.32	158732263	158784070
AL109924.5	6	q27	168999401	169000527
TBC1D3E	17	q12	38127951	38138862
AL109924.1	6	q27	168962610	168964341
BTBD10P2	6	q25.1	149794763	149795746
IGHVIII-25-1	CHR_HSCHR14_3_CTG1		106294339	106294579
LINC01937	2	q37.3	238720324	238740780
TCEAL3-AS1	X	q22.2	103626076	103626492
AC016999.2	2	q37.3	238454908	238457520
TMEM72	10	q11.21	44911200	44937002
DEPP1	10	q11.21	44970981	44978810
AP001266.2	11	q13.1	65745729	65771585
FAM197Y6	Y	p11.2	9388122	9397438
AC005224.2	17	p12	14295512	14297600
RPL9P21	10	q11.21	44414649	44415153
RPLP0P11	18	q21.1	50457887	50458795
NPAP1P7	9	q22.1	87825146	87825968
AL592528.1	21	q22.3	45827961	45836419
LINC01659	22	q11.23	23433564	23435071
AL133399.1	11	p13	33450646	33450943
RCC1	1	p35.3	28505943	28539300
ZNF844	19	p13.2	12064699	12081565
CRLF1	19	p13.11	18572220	18607741
LINC00322	21	q22.3	43322417	43332039
AKR1C2	10	p15.1	4987400	5018031
AC005229.2	7	q36.1	148580401	148580799
AC006974.2	7	q36.1	148543677	148572177
COPS7B	2	q37.1	231781671	231809254
TRIM15	CHR_HSCHR6_MHC_APD_CTG1		30155693	30165183
AC073476.1	2	q37.1	231789481	231789887
AC007223.1	16	p13.3	6573767	6577359
AL355798.1	10	p12.1	26379034	26387374
RPS2P1	20	q11.22	34122470	34123290
AC034102.6	12	q13.2	56120033	56129619
COX5A	15	q24.2	74919791	74938168
C15orf53	15	q14	38628005	39180499
TBC1D9	4	q31.21	140620765	140756120
C15orf54	15	q14	39250684	39254845
IGHJ1	CHR_HSCHR14_3_CTG1		105866178	105866229
SLC25A28	10	q24.2	99610522	99620609
ARHGAP22-IT1	10	q11.22	48510525	48511589
AP001360.2	11	q23.3	120008604	120012158
AL159990.1	9	q21.12	70726040	70730856
ANKRD20A3	9	q21.11	66106815	66153135
AL359538.1	13	q12.12	24566873	24597676
PSPC1P2	13	q12.12	24566843	24570728
AQP3	9	p13.3	33441154	33447633
AP002800.1	11	q23.3	118264593	118266817
COX8C	14	q32.12	93347191	93348356
SNAP29	22	q11.21	20858983	20891218
AP003972.1	11	q25	133297189	133302634
AC114296.1	5	q31.1	135812667	135827546
C3orf18	3	p21.31	50558025	50571027
TTLL1	22	q13.2	43039644	43089428
AC092832.2	X	p22.11	22428132	22494713
AC069439.1	3	q26.1	166861944	166862110
AC069439.2	3	q26.1	166835021	166844956
TLE3	15	q23	70047790	70098176
Z98949.2	22	q12.1	26006389	26006532
AP002990.1	11	q12.3	62559603	62591531
TMEM127	2	q11.2	96248516	96265994
OPCML-IT1	11	q25	133360029	133366080
HLA-E	CHR_HSCHR6_MHC_COX_CTG1		30479321	30484059
MEMO1P1	21	q22.12	36130489	36131376
TBC1D3L	17	q12	37977972	37989048
UBE2Q2P4Y	Y	q11.23	24232826	24238984
EIF1P4	16	p13.3	2822659	2822993
AC021146.1	4	q13.2	68914928	68924741
OPALIN	10	q24.1	96343216	96359365
AC021146.12	4	q13.2	68901008	68906983
TCEAL5	X	q22.1	103273691	103276872
SSU72	1	p36.33	1541673	1574869
AC064862.1	7	p11.2	57650381	57651119
AC064862.5	7	p11.2	57650521	57650854
RPL23AP53	8	p23.3	213186	232231
AC136777.2	8	p23.3	264315	264672
CHCHD4P3	9	p13.2	37434177	37434586
PECAM1	17	q23.3	64319415	64413776
UBTF	17	q21.31	44205033	44221626
AC007036.3	7	p14.3	30157531	30159534
SCRIB	CHR_HSCHR8_3_CTG7		143777927	143802386
HIRA	22	q11.21	19330698	19447450
LINC01039	13	q32.3	99577112	99580368
SNX18P12	21	p11.2	9364467	9365225
AC003102.1	17	q21.31	44221401	44223710
AP000944.1	11	q13.1	65367438	65375299
LINC02255	15	q24.1	74379083	74390535
BID	22	q11.21	17734138	17774770
PRAMEF8	1	p36.21	13281035	13285174
AC009961.1	2	q24.2	159670708	159712435
AL031775.2	6	p22.3	24706747	24707151
AC009961.3	2	q24.2	159689217	159690291
AC005821.1	17	q23.2	62699244	62737922
C20orf141	20	p13	2814987	2815833
RPL29P23	11	p13	33190062	33190503
AC013565.1	15	q26.1	89041223	89082819
PDILT	16	p12.3	20359170	20404737
CR392039.4	21	p11.2	9082601	9083101
MTCYBP24	7	q31.1	112374324	112375429
STX3	11	q12.1	59713456	59805882
OR10V3P	11	q12.1	59741325	59742049
IGLC2	22	q11.22	22900976	22901437
H2AFZP2	8	q13.3	70103798	70104179
AC090409.2	18	q21.33	61571342	61579456
FDPSP4	15	q15.2	42939310	42940358
AP000640.2	11	q12.1	59669312	59676041
UBE2Q2P2	15	q25.2	82355142	82420075
AL049539.1	20	q11.21	32116171	32116629
LINC02576	2	p14	65030727	65053017
AC090572.2	8	q21.3	86765935	86818558
POTEC	18	p11.21	14507339	14543585
TRAPPC2P9	Y	q11.223	23762838	23765583
XKRYP3	Y	q11.223	23715922	23726808
GALK1	17	q25.1	75751594	75765711
AC110597.4	CHR_HSCHR18_2_CTG2		67585995	67586198
LPIN2	18	p11.31	2916994	3013315
RPS23P1	8	q22.1	97865054	97865485
LINC01068	13	q31.1	79566727	79571436
AC022535.1	10	p15.1	4415305	4426179
GZMA	5	q11.2	55102648	55110252
ABR	CHR_HSCHR17_2_CTG2		1003519	1192547
HHLA2	3	q13.13	108296490	108378285
OR7E149P	12	p13.31	8437403	8438425
OR7E148P	12	p13.31	8427640	8428610
CIDEC	3	p25.3	9866711	9880254
AC006557.2	18	p11.21	14143596	14151139
FRG2LP	18	p11.21	14137710	14139272
AL137028.2	20	q13.33	64278306	64278561
LINC02245	2	p14	64901840	64905137
AC092865.2	12	p13.31	8406833	8407195
AC093166.3	2	q13	111865798	111866405
AL022324.2	22	q11.23	25349543	25350322
ZNF35	3	p21.31	44648727	44660791
LINC00462	13	q14.2	48576974	48578088
AC125807.1	12	p13.33	3071532	3072145
FAM84A	2	p24.3	14632686	14650814
ZNF197	3	p21.31	44584888	44648471
MIR4435-2HG	2	q13	111036776	111523376
CD38	4	p15.32	15778275	15853230
TTI2	8	p12	33473386	33513601
FAM243B	21	p11.2	7768884	7770591
MIPEP	13	q12.12	23730189	23889419
C5orf66-AS1	5	q31.1	135038831	135040047
OR5AN2P	11	q12.1	59309681	59310576
MAMDC2-AS1	CHR_HSCHR9_1_CTG3		70087297	70113866
AC007238.1	2	p16.1	58460292	58462032
LY6G6D	CHR_HSCHR6_MHC_DBB_CTG1		31697525	31699973
GRXCR1	4	p13	42893267	43030658
SMCHD1	18	p11.32	2655738	2805017
AF131216.5	8	p23.1	11479203	11481068
VPS52	CHR_HSCHR6_MHC_QBL_CTG1		33179079	33200871
CD47	3	q13.12	108043094	108091862
AL357752.1	X	q13.1	70361486	70362374
NEIL3	4	q34.3	177309836	177362943
RPEP3	1	p35.3	27739954	27740629
POLA2	11	q13.1	65261762	65305589
HNF4A	20	q13.12	44355700	44434596
CR936218.1	17	q21.31	46035313	46035770
RBMY2WP	Y	q11.223	22762851	22769787
AC008894.2	19	p13.11	16123661	16139892
AL356274.1	13	q13.3	37139176	37139585
CSNK1A1L	13	q13.3	37103259	37105664
AC092447.1	7	p11.2	56597379	56598342
AC011933.4	17	q25.1	75344405	75373662
FAM76A	1	p35.3	27725979	27763122
AC008175.2	Y	q11.223	22646031	22646327
DBF4B	17	q21.31	44708608	44752264
AC226496.2	CHR_HSCHR4_1_CTG9		68696372	68697104
CASTOR1	22	q12.2	30285117	30289627
ZBED4	22	q13.33	49853842	49890078
AL590764.1	X	q13.1	71183559	71198175
AC226496.4	CHR_HSCHR4_1_CTG9		68667002	68669858
AC104389.2	11	p15.4	5354692	5355578
UBDP1	CHR_HSCHR6_MHC_COX_CTG1		29461167	29466379
USP9YP24	Y	q11.223	22528281	22536639
AC009542.1	7	q33	135198401	135209837
AC015849.6	17	q12	35861093	35861566
ARHGEF26	CHR_HSCHR3_2_CTG2_1		154121003	154261004
AC007448.4	17	q24.2	67244282	67273503
LINC01565	3	q21.3	128572000	128576086
DENND4C	9	p22.1	19230435	19373545
AL358234.1	10	p12.1	28433008	28495813
ANKS3	16	p13.3	4696510	4734378
ARHGAP42P4	14	q11.2	19688261	19691194
BREA2	CHR_HSCHR8_3_CTG7		143683161	143685420
MARK2P13	7	p14.2	36109024	36110872
AC009486.1	2	p24.3	12715415	12716227
AC092435.3	4	q31.22	147005492	147009145
AL512310.6	14	q11.2	19668829	19670003
AL121753.2	20	q11.22	35262727	35264187
AL121753.1	20	q11.22	35267885	35280043
VAPB	20	q13.32	58389122	58451101
DNM1P30	15	q13.2	30150872	30153409
SMARCE1P6	2	p23.3	26149204	26150731
HCG18	6	p22.1	30287397	30327150
ADAM2	CHR_HSCHR8_9_CTG1		39588691	39683242
KRTAP4-9	CHR_HSCHR17_4_CTG4		41105751	41106907
CU634019.6	21	p12	6986450	6997765
KRTAP4-8	CHR_HSCHR17_4_CTG4		41097371	41098544
TRIM5	11	p15.4	5663557	5938619
AC010724.2	CHR_HSCHR15_5_CTG8		82619121	82635020
HNRNPA1P53	11	p15.4	5571247	5572192
OR51B4	11	p15.4	5301014	5301946
AP001029.1	18	p11.21	12432897	12437635
AC012360.3	2	q12.2	105334027	105337475
C3orf86	3	p21.31	44421127	44439946
AC010463.1	19	p13.11	17267418	17282966
AC145141.1	5	q13.2	71445616	71446569
NACA4P	8	q22.3	101361794	101372707
GTF2H2	CHR_HSCHR5_2_CTG1_1		69559974	69592641
KATNBL1	15	q14	34140674	34210096
RUSC2	9	p13.3	35490127	35561898
AC090772.3	18	q11.2	24159509	24162211
AP001330.5	8	q22.3	101208148	101208558
ABHD17A	19	p13.3	1876810	1885547
SCML1	X	p22.13	17737449	17754988
CCDC74B	2	q21.1	130139287	130145134
HECTD2	10	q23.32	91409280	91514829
AL161798.1	10	q23.32	91464578	91464708
RBFOX2	CHR_HSCHR22_1_CTG4		35744967	35945128
AC092162.1	2	q31.1	176809426	176809859
AL353763.2	9	p11.2	41012231	41014133
SDAD1P4	13	q12.12	23267506	23269150
NPAP1P2	10	q22.3	79860573	79861806
CLPTM1L	5	p15.33	1317744	1345099
IGLV3-19	22	q11.22	22720623	22721145
AC012615.4	19	p13.3	1860250	1862019
AC012615.3	19	p13.3	1852382	1853622
AC117386.2	3	q25.1	150039214	150213726
NPM1P29	3	q25.1	149938997	149939799
IGLV3-22	22	q11.22	22704265	22704822
AL365434.2	10	q23.31	90997480	90997713
AC010542.2	16	q21	66509437	66510048
NUS1P2	13	q12.12	22915651	22916523
AC005726.4	17	q11.2	28573117	28574243
TGFB1I1	16	p11.2	31471585	31477960
EEF2	19	p13.3	3976056	3985469
NDUFS4	5	q11.2	53560633	53683340
C11orf16	11	p15.4	8920076	8933006
